"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","F1"
0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,467.787232119764
0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,511.375382214664
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,642.028599294956
0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,439.817509419202
0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,518.882079799034
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,358.404282605041
0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,434.369998094637
1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,633.771281826174
0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,505.403285402377
0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,409.698045019421
1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,562.281575477477
1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,634.704164990501
1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,544.010994285274
0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,453.339728503911
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,382.154977701971
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,728.198029979946
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,408.708459665893
1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,469.251466581563
0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,423.93925338437
0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,405.478788223931
0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,400.477562494616
0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,470.501260653072
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,383.496833925534
0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,482.963304086569
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,343.084942848877
1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,543.133706085142
