CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;CO_PROVA;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;IN_ITEM_ADAPTADO;ANO;IN_ENCCEJA;IN_ENEM;OCRSearch;theta_065;theta_080;theta_099;PercentEspAcerto;imagAPI
17;CN;92179;C;17;Natureza Rosa REGULAR;1;Problemas na convergencia;;;;Rosa;0;2019;1;0;N/A;10499.998807907104;10499.998807907104;10499.998807907104;;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/92179.png
17;LC;72221;B;17;Linguagens Branca REGULAR;0;;0.98748;0.83466;0.07801;Branca;0;2019;1;0;N/A;583.4643840789795;713.4621143341064;1040.4913425445557;53.9;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/72221.png
17;MT;117237;C;28;Matemática Amarela REGULAR;0;;0.89035;1.77754;0.21511;Amarela;0;2019;1;0;N/A;677.7803897857666;798.2795238494873;1166.3405895233154;60.76;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117237.png
18;CH;75444;B;18;Humanas Azul REGULAR;0;;0.74505;1.21971;0.24851;Azul;0;2019;1;0;N/A;622.002363204956;758.110761642456;1199.9289989471436;62.43;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75444.png
18;CN;56714;B;18;Natureza Rosa REGULAR;0;;0.7744;1.75584;0.13518;Rosa;0;2019;1;0;N/A;675.5893230438232;830.6972980499268;1250.0040531158447;56.76;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56714.png
18;LC;93567;B;18;Linguagens Branca REGULAR;0;;1.00492;1.97809;0.11653;Branca;0;2019;1;0;N/A;697.824239730835;820.0948238372803;1142.608404159546;55.83;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/93567.png
18;MT;35319;A;1;Matemática Amarela REGULAR;0;;0.84253;2.22836;0.21007;Amarela;0;2019;1;0;N/A;722.8152751922607;851.2203693389893;1239.9237155914307;60.5;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35319.png
19;CH;93284;A;19;Humanas Azul REGULAR;0;;0.36449;2.08976;0.21133;Azul;0;2019;1;0;N/A;709.0251445770264;1005.1577091217041;1903.7978649139404;60.57;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/93284.png
19;CN;56747;D;19;Natureza Rosa REGULAR;0;;0.52546;3.64157;0.1334;Rosa;0;2019;1;0;N/A;864.15696144104;1093.2652950286865;1711.1079692840576;56.67;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56747.png
19;LC;58882;C;19;Linguagens Branca REGULAR;0;;1.90471;1.90018;0.12489;Branca;0;2019;1;0;N/A;690.0064945220947;753.8883686065674;924.1883754730225;56.24;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58882.png
19;MT;117284;B;13;Matemática Amarela REGULAR;0;;0.82996;2.57767;0.19159;Amarela;0;2019;1;0;N/A;757.7698230743408;891.8135166168213;1285.5069637298584;59.58;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117284.png
20;CH;39658;D;20;Humanas Azul REGULAR;0;;1.08721;1.19171;0.18568;Azul;0;2019;1;0;N/A;619.1532611846924;722.388505935669;1022.7196216583252;59.28;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/39658.png
20;CN;81186;B;20;Natureza Rosa REGULAR;0;;1.19689;2.00255;0.15797;Rosa;0;2019;1;0;N/A;700.2608776092529;797.7001667022705;1069.6523189544678;57.9;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/81186.png
20;LC;58770;C;20;Linguagens Branca REGULAR;0;;1.39044;1.18326;0.25852;Branca;0;2019;1;0;N/A;618.3426380157471;689.9564266204834;927.0398616790771;62.93;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58770.png
20;MT;58370;C;21;Matemática Amarela REGULAR;0;;0.98393;2.03576;0.30132;Amarela;0;2019;1;0;N/A;703.5987377166748;796.4317798614502;1133.7082386016846;65.07;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58370.png
21;CH;56454;D;21;Humanas Azul REGULAR;0;;1.11211;0.80285;0.18443;Azul;0;2019;1;0;N/A;580.2791118621826;681.3757419586182;974.938154220581;59.22;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56454.png
