CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099
43,LC,118232,E,"16,0",0,,"0,78671","1,66055","0,07838",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"702,7332782745361","761,9993686676025","1003,472089767456"
44,LC,89089,B,"17,0",0,,"2,12752","1,89142","0,24171",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"693,401575088501","717,5247669219971","808,452844619751"
44,LC,118174,C,"19,0",0,,"3,99087","0,86875","0,1868",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"591,0055637359619","603,3890247344971","651,5233516693115"
45,LC,76167,D,"1,0",0,,"1,82086","0,2283","0,00715",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"542,4706935882568","567,3258304595947","671,0426807403564"
45,LC,82045,A,"1,0",0,,"1,76863","1,32651","0,1622",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"643,6913013458252","671,2214946746826","779,5302867889404"
46,CH,86751,C,"23,0",0,,"3,45284","1,65017","0,09484",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"672,8761196136475","686,4850521087646","741,5859699249268"
46,CH,96361,C,"29,0",0,,"1,42267","-0,08446","0,21669",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"500,382661819458","535,8116626739502","671,3359355926514"
47,CH,83820,B,"12,0",0,,"2,24266","0,19945","0,14787",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"529,4125080108643","550,9464740753174","636,2287998199463"
47,CH,88078,A,"26,0",0,,"1,13339","0,05458","0,23513",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"514,2824649810791","559,3459606170654","729,874849319458"
48,CH,77940,A,"16,0",0,,"1,69265","-0,16281","0,19993",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"492,45762825012207","521,902322769165","635,570764541626"
48,CH,95831,C,"30,0",0,,"2,62983","1,05995","0,16211",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"613,4240627288818","631,9372653961182","704,7789096832275"
49,CH,95951,B,"27,0",0,,"3,30735","1,30638","0,26646",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"632,2662830352783","648,090124130249","706,7887783050537"
49,CH,118034,B,"9,0",0,,"2,89911","0,93429","0,16213",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"600,167989730835","616,962194442749","683,035135269165"
50,CH,45168,B,"12,0",0,,"2,56996","0,69017","0,24002",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"572,6377964019775","592,5838947296143","667,8383350372314"
50,CH,84811,A,"2,0",0,,"2,78428","0,48121","0,18255",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"554,2342662811279","571,936845779419","640,8970355987549"
51,CH,81818,C,"23,0",0,,"2,38508","0,67408","0,18918",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"574,1922855377197","594,9442386627197","675,5082607269287"
51,CH,96447,D,"20,0",0,,"3,56414","0,51626","0,13663",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"557,9488277435303","571,4147090911865","625,0135898590088"
52,CH,96302,B,"7,0",0,,"1,13705","0,24894","0,00655",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"556,3943386077881","596,1863994598389","762,2711658477783"
52,CH,97931,A,"23,0",0,,"0,98907","1,33715","0,26413",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"639,5165920257568","692,331075668335","888,5471820831299"
53,CH,87089,B,"24,0",0,,"4,20856","1,12773","0,14962",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"617,7680492401123","629,2550563812256","674,7095584869385"
53,CH,111820,B,"5,0",0,,"1,43499","2,25728","0,06711",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"746,6356754302979","778,9628505706787","911,2160205841064"
54,CH,78677,C,"26,0",0,,"1,8918","1,40629","0,2082",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"647,8707790374756","674,3614673614502","776,1685848236084"
54,CH,118033,C,"6,0",0,,"3,33353","0,6595","0,32563",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"564,6078586578369","581,1898708343506","639,998197555542"
55,CH,50201,E,"28,0",0,,"3,63204","0,80166","0,15213",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"585,8724117279053","599,2023944854736","651,8857479095459"
55,CH,84769,E,"11,0",0,,"2,20133","1,01836","0,12996",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"612,4179363250732","634,1426372528076","720,86501121521"
56,CH,45145,E,"18,0",0,,"2,3355","-0,7525","0,18114",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"432,1138858795166","453,1996250152588","535,3968143463135"
56,CH,118022,E,"26,0",0,,"3,17381","0,77149","0,09188",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"585,7985019683838","600,5804538726807","660,5093479156494"
57,CH,85120,D,"19,0",0,,"3,67655","1,23977","0,26138",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"625,652551651001","639,8289203643799","692,5933361053467"
57,CH,111844,E,"11,0",0,,"2,33881","0,22143","0,04965",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"535,7139110565186","555,3977489471436","636,4219188690186"
58,CH,33960,B,"14,0",0,,"3,73216","1,13742","0,16303",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"618,948221206665","631,9992542266846","683,330774307251"
